,Schedule No.,Constituency_x,2020 District,2011 District,Lok Ac,Turnout [4],Winner,Party,Margin,Party_abbrv
185,186,Sivaganga,Sivaganga,Sivaganga,Sivaganga,69.9,Karti P Chidambaram,Indian National Congress,332244,IND
186,187,Manamadurai,Sivaganga,Sivaganga,Sivaganga,69.9,Karti P Chidambaram,Indian National Congress,332244,IND
187,188,Melur,Madurai,Madurai,Madurai,66.09,S. Venkatesan,Communist Party of India (Marxist),139395,CPIM
188,189,Madurai East,Madurai,Madurai,Madurai,66.09,S. Venkatesan,Communist Party of India (Marxist),139395,CPIM
189,190,Sholavandan,Madurai,Madurai,Theni,75.27,P. Raveendranath Kumar,All India Anna Dravida Munnetra Kazhagam,76672,AIADMK
190,191,Madurai North,Madurai,Madurai,Madurai,66.09,S. Venkatesan,Communist Party of India (Marxist),139395,CPIM
191,192,Madurai South,Madurai,Madurai,Madurai,66.09,S. Venkatesan,Communist Party of India (Marxist),139395,CPIM
192,193,Madurai Central,Madurai,Madurai,Madurai,66.09,S. Venkatesan,Communist Party of India (Marxist),139395,CPIM
193,194,Madurai West,Madurai,Madurai,Madurai,66.09,S. Venkatesan,Communist Party of India (Marxist),139395,CPIM
194,195,Thiruparankundram,Madurai,Madurai,Virudhunagar,72.49,Manickam Tagore,Indian National Congress,154554,IND
195,196,Tirumangalam,Madurai,Madurai,Virudhunagar,72.49,Manickam Tagore,Indian National Congress,154554,IND
196,197,Usilampatti,Madurai,Madurai,Theni,75.27,P. Raveendranath Kumar,All India Anna Dravida Munnetra Kazhagam,76672,AIADMK
197,198,Andipatti,Theni,Theni,Theni,75.27,P. Raveendranath Kumar,All India Anna Dravida Munnetra Kazhagam,76672,AIADMK
198,199,Periyakulam,Theni,Theni,Theni,75.27,P. Raveendranath Kumar,All India Anna Dravida Munnetra Kazhagam,76672,AIADMK
199,200,Bodinayakanur,Theni,Theni,Theni,75.27,P. Raveendranath Kumar,All India Anna Dravida Munnetra Kazhagam,76672,AIADMK
200,201,Cumbum,Theni,Theni,Theni,75.27,P. Raveendranath Kumar,All India Anna Dravida Munnetra Kazhagam,76672,AIADMK
201,202,Rajapalayam,Virudhunagar,Virudhunagar,Tenkasi,71.43,Dhanush M Kumar,Dravida Munnetra Kazhagam,120286,DMK
202,203,Srivilliputhur,Virudhunagar,Virudhunagar,Tenkasi,71.43,Dhanush M Kumar,Dravida Munnetra Kazhagam,120286,DMK
203,204,Sattur,Virudhunagar,Virudhunagar,Virudhunagar,72.49,Manickam Tagore,Indian National Congress,154554,IND
204,205,Sivakasi,Virudhunagar,Virudhunagar,Virudhunagar,72.49,Manickam Tagore,Indian National Congress,154554,IND
205,206,Virudhunagar,Virudhunagar,Virudhunagar,Virudhunagar,72.49,Manickam Tagore,Indian National Congress,154554,IND
206,207,Aruppukkottai,Virudhunagar,Virudhunagar,Virudhunagar,72.49,Manickam Tagore,Indian National Congress,154554,IND
207,208,Tiruchuli,Virudhunagar,Virudhunagar,Ramanathapuram,68.4,Navaskani,Indian Union Muslim League,126237,IUML
208,209,Paramakudi,Ramanathapuram,Ramanathapuram,Ramanathapuram,68.4,Navaskani,Indian Union Muslim League,126237,IUML
209,210,Tiruvadanai,Ramanathapuram,Ramanathapuram,Ramanathapuram,68.4,Navaskani,Indian Union Muslim League,126237,IUML
210,211,Ramanathapuram,Ramanathapuram,Ramanathapuram,Ramanathapuram,68.4,Navaskani,Indian Union Muslim League,126237,IUML
211,212,Mudhukulathur,Ramanathapuram,Ramanathapuram,Ramanathapuram,68.4,Navaskani,Indian Union Muslim League,126237,IUML
212,213,Vilathikulam,Thoothukudi,Thoothukkudi,Thoothukkudi,69.48,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,347209,DMK
213,214,Thoothukudi,Thoothukudi,Thoothukkudi,Thoothukkudi,69.48,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,347209,DMK
214,215,Tiruchendur,Thoothukudi,Thoothukkudi,Thoothukkudi,69.48,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,347209,DMK
215,216,Tiruvaikuntam,Thoothukudi,Thoothukkudi,Thoothukkudi,69.48,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,347209,DMK
216,217,Ottapidaram,Thoothukudi,Thoothukkudi,Thoothukkudi,69.48,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,347209,DMK
217,218,Kovilpatti,Thoothukudi,Thoothukkudi,Thoothukkudi,69.48,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,347209,DMK
218,219,Sankarankovil,Tenkasi,Tirunelveli,Tenkasi,71.43,Dhanush M Kumar,Dravida Munnetra Kazhagam,120286,DMK
219,220,Vasudevanallur,Tenkasi,Tirunelveli,Tenkasi,71.43,Dhanush M Kumar,Dravida Munnetra Kazhagam,120286,DMK
220,221,Kadayanallur,Tenkasi,Tirunelveli,Tenkasi,71.43,Dhanush M Kumar,Dravida Munnetra Kazhagam,120286,DMK
221,222,Tenkasi,Tenkasi,Tirunelveli,Tenkasi,71.43,Dhanush M Kumar,Dravida Munnetra Kazhagam,120286,DMK
222,223,Alangulam,Tenkasi,Tirunelveli,Tirunelveli,67.22,S. Gnanathiraviam,Dravida Munnetra Kazhagam,185457,DMK
223,224,Tirunelveli,Tirunelveli,Tirunelveli,Tirunelveli,67.22,S. Gnanathiraviam,Dravida Munnetra Kazhagam,185457,DMK
224,225,Ambasamudram,Tirunelveli,Tirunelveli,Tirunelveli,67.22,S. Gnanathiraviam,Dravida Munnetra Kazhagam,185457,DMK
225,226,Palayamkottai,Tirunelveli,Tirunelveli,Tirunelveli,67.22,S. Gnanathiraviam,Dravida Munnetra Kazhagam,185457,DMK
226,227,Nanguneri,Tirunelveli,Tirunelveli,Tirunelveli,67.22,S. Gnanathiraviam,Dravida Munnetra Kazhagam,185457,DMK
227,228,Radhapuram,Tirunelveli,Tirunelveli,Tirunelveli,67.22,S. Gnanathiraviam,Dravida Munnetra Kazhagam,185457,DMK
228,229,Kanniyakumari,Kanniyakumari,Kanniyakumari,Kanniyakumari,69.9,H. Vasanthakumar,Indian National Congress,259933,IND
